bag_verblijfsobject_id,nummer,soort_woning
0599010000240940,60001000085,Zelfstandig
0599010000488944,10010000114,Onzelfstandig
0599010000487185,17000000630,Onzelfstandig
0599010000135438,18000000081,Onzelfstandig
0599010000480529,25072000022,Zelfstandig
0599010400025769,20001000138,Onzelfstandig
0599010000480564,25070000114,Onzelfstandig
0599010400026754,19000000095,Onzelfstandig
0599010000048049,14001000074,Onzelfstandig
0599010400027575,42025000001,Onzelfstandig
0599010000436950,12203000009,Zelfstandig
0599010400026874,19000000203,Onzelfstandig
0599010000230075,10012000042,Onzelfstandig
0599010400028346,18001000009,Onzelfstandig
0599010400027007,10008000035,Onzelfstandig
0599010000487185,17000000542,Onzelfstandig
0599010000346804,16002000097,Zelfstandig
0599010400025871,25073000040,Onzelfstandig
0599010400025882,25073000057,Onzelfstandig
0599010000054415,47012000054,Onzelfstandig
0599010400027579,47021000015,Onzelfstandig
0599010000160841,47012000060,Onzelfstandig
0599010000087285,42032000004,Zelfstandig
0599010000021741,77745000010,Onzelfstandig
0599010400019222,51021000010,Onzelfstandig
0599010400036630,36198000011,Onzelfstandig
0599010400035268,23133000146,Onzelfstandig
0599010400035271,23133000149,Onzelfstandig
0599010400022006,20005000141,Onzelfstandig
0599010000211254,71525000003,Onzelfstandig
0599010000028244,71525000055,Onzelfstandig
0599010110001089,74923000010,Onzelfstandig
0599010110000550,71018000004,Onzelfstandig
0599010110003278,51158000019,Onzelfstandig
0599010110003248,51158000041,Onzelfstandig
0599010400043912,12002000007,Onzelfstandig
0599010110008798,77774000019,Onzelfstandig
0599010000315180,12122000053,Onzelfstandig
0599010400028416,11452000081,Zelfstandig
0599010110024873,71526000073,Onzelfstandig
0599010110027945,23134000040,Onzelfstandig
0599010000362754,71381000005,Zelfstandig
0599010000078834,71231000038,Zelfstandig
0599010000109343,90761000038,Zelfstandig
0599010000322879,74892000003,Zelfstandig
0599010000100976,77791000018,Zelfstandig
0599010000233763,48421000101,Zelfstandig
0599010000026955,77691000058,Zelfstandig
0599010000339795,71061000010,Zelfstandig
0599010000042796,90792000011,Zelfstandig
0599010000086049,85541000036,Zelfstandig
0599010000250789,87702000012,Zelfstandig
0599010000203263,77772000015,Zelfstandig
0599010000214195,87481000038,Zelfstandig
0599010000188963,48436000024,Zelfstandig
0599010000333483,74261000010,Zelfstandig
0599010000233161,67762000010,Zelfstandig
0599010000203259,77421000051,Zelfstandig
0599010000137686,89621000108,Zelfstandig
0599010000332581,71041000023,Zelfstandig
0599010000077398,71251000037,Zelfstandig
0599010000095074,11641000045,Zelfstandig
0599010000261092,67731000060,Zelfstandig
0599010000079075,85571000005,Zelfstandig
0599010000226974,87451000064,Zelfstandig
0599010000185558,77111000087,Zelfstandig
0599010000323822,74411000002,Zelfstandig
0599010000078443,71251000053,Zelfstandig
0599010000215824,48421000116,Zelfstandig
0599010000336580,67861000003,Zelfstandig
0599010000092440,77471000016,Zelfstandig
0599010000263880,77401000055,Zelfstandig
0599010000249327,71059000027,Zelfstandig
0599010000159968,11661000064,Zelfstandig
0599010000192106,11462000029,Zelfstandig
0599010000143666,77131000051,Zelfstandig
0599010000323816,74442000071,Zelfstandig
0599010000129769,67764000012,Zelfstandig
0599010000336659,67861000082,Zelfstandig
0599010000482778,77792000029,Onzelfstandig
0599010000482724,77793000012,Onzelfstandig
0599010400009119,71424000016,Onzelfstandig
0599010000488532,77898000014,Onzelfstandig
0599010000488547,77898000033,Onzelfstandig
0599010400013353,11395000000,Onzelfstandig
0599010000487544,51070000057,Onzelfstandig
0599010400001211,36362000023,Onzelfstandig
0599010400004351,51010000023,Onzelfstandig
0599010400004358,51010000032,Onzelfstandig
0599010400003165,36359000073,Onzelfstandig
0599010400006364,42009000041,Onzelfstandig
0599010400027201,10009000055,Onzelfstandig
0599010000084637,10011000097,Onzelfstandig
0599010000241584,49001000125,Onzelfstandig
0599010400027949,15004000222,Onzelfstandig
0599010400027053,10006000101,Onzelfstandig
0599010400027987,15004000240,Onzelfstandig
0599010400012388,12204000003,Zelfstandig
0599010400027063,10006000117,Onzelfstandig
0599010400027751,15004000087,Onzelfstandig
0599010000074121,10012000122,Onzelfstandig
0599010000341377,19000000001,Zelfstandig
0599010400027787,15004000114,Onzelfstandig
0599010000092564,10010000010,Onzelfstandig
0599010000487057,17000000376,Zelfstandig
0599010000101913,19002000081,Zelfstandig
0599010000360167,20004000091,Zelfstandig
0599010000360022,20004000243,Onzelfstandig
0599010000036675,37000000137,Zelfstandig
0599010000480564,25070000063,Onzelfstandig
0599010000278028,18000000001,Onzelfstandig
0599010400026744,19000000079,Onzelfstandig
0599010000278969,18000000134,Onzelfstandig
0599010400026750,19000000087,Onzelfstandig
0599010000479869,42022000006,Zelfstandig
0599010000053152,20001000030,Zelfstandig
0599010400027668,15004000021,Onzelfstandig
0599010000360022,20004000290,Onzelfstandig
0599010000227519,37000000069,Onzelfstandig
0599010000342747,20002000135,Zelfstandig
0599010000480564,25070000058,Onzelfstandig
0599010000360091,20004000053,Zelfstandig
0599010000486642,17000000018,Zelfstandig
0599010000360022,20004000472,Onzelfstandig
0599010000360096,20004000058,Zelfstandig
0599010000183527,18000000120,Zelfstandig
0599010400025880,25073000056,Onzelfstandig
0599010000281115,42035000002,Zelfstandig
0599010000122125,49000000098,Onzelfstandig
0599010400027163,49000000169,Onzelfstandig
0599010400028245,44000000228,Onzelfstandig
0599010000210866,49000000110,Onzelfstandig
0599010000233803,49000000254,Zelfstandig
0599010400025578,45003000040,Onzelfstandig
0599010000254622,44000000200,Zelfstandig
0599010400020118,23040000001,Onzelfstandig
0599010400024321,12113000016,Onzelfstandig
0599010000246138,71524000039,Onzelfstandig
0599010000111122,77746000003,Onzelfstandig
0599010000481461,85101000060,Onzelfstandig
0599010000481461,85101000066,Onzelfstandig
0599010400036626,36198000007,Onzelfstandig
0599010400035255,23133000062,Onzelfstandig
0599010000108292,71525000092,Onzelfstandig
0599010110001100,74923000019,Onzelfstandig
0599010110000542,71018000025,Onzelfstandig
